Date,AAPL,ADI,BIG,BPFH,ECHO
2017-05-09,153.990005,78.5,50.189999,15.3,19.049999
2017-05-10,153.259995,79.029999,50.59,15.3,18.9
2017-05-11,153.949997,78.440002,49.209998999999996,15.3,18.75
2017-05-12,156.100006,78.629997,47.509997999999996,15.2,18.549999
2017-05-15,155.699997,80.209999,47.0,15.6,18.629998999999998
2017-05-16,155.470001,81.050003,46.639998999999996,15.5,18.549999
2017-05-17,150.25,78.41999799999999,46.57,14.75,17.950001
2017-05-18,152.53999299999998,80.480003,46.470001,15.05,18.5
2017-05-19,153.059998,81.239998,47.5,14.85,18.299999
2017-05-22,153.990005,82.089996,47.709998999999996,14.95,18.9
2017-05-23,153.800003,81.959999,46.950001,15.1,18.950001
2017-05-24,153.33999599999999,82.120003,46.98,14.9,18.549999
2017-05-25,153.869995,82.339996,48.369999,14.9,18.75
2017-05-26,153.610001,82.809998,49.790001000000004,14.75,18.549999
2017-05-30,153.669998,84.800003,49.889998999999996,14.65,18.85
2017-05-31,152.759995,85.760002,48.830002,14.5,18.65
2017-06-01,153.179993,82.209999,49.630001,14.95,19.35
2017-06-02,155.449997,80.910004,49.959998999999996,15.0,19.450001
2017-06-05,153.929993,78.75,49.639998999999996,14.8,19.450001
2017-06-06,154.449997,80.099998,48.240002000000004,14.45,19.25
2017-06-07,155.369995,80.83000200000001,49.25,14.7,19.35
2017-06-08,154.990005,82.440002,48.84,15.2,19.25
2017-06-09,148.979996,78.599998,50.490002000000004,15.8,19.75
2017-06-12,145.419998,79.739998,50.43,15.6,19.799999
2017-06-13,146.58999599999999,81.230003,50.310001,15.65,19.549999
2017-06-14,145.16000400000001,80.940002,49.77,15.65,19.549999
2017-06-15,144.28999299999998,79.75,48.75,15.6,20.0
2017-06-16,142.270004,80.040001,47.889998999999996,15.7,20.4
2017-06-19,146.33999599999999,80.370003,48.169998,15.55,20.1
2017-06-20,145.009995,79.199997,46.849998,15.3,19.4
2017-06-21,145.869995,79.980003,46.580002,14.95,19.049999
2017-06-22,145.630005,81.32,47.02,15.0,19.4
2017-06-23,146.279999,81.550003,47.0,15.1,20.1
2017-06-26,145.820007,80.57,47.490002000000004,15.15,19.35
2017-06-27,143.729996,78.139999,48.060001,15.25,19.450001
2017-06-28,145.830002,79.199997,47.57,15.5,19.75
2017-06-29,143.679993,77.739998,47.84,15.6,19.5
2017-06-30,144.020004,77.800003,48.299999,15.35,19.9
2017-07-03,143.5,76.110001,49.18,15.7,20.549999
2017-07-05,144.08999599999999,77.739998,48.07,15.6,20.25
2017-07-06,142.729996,77.33000200000001,46.990002000000004,15.45,19.549999
2017-07-07,144.179993,78.470001,46.610001000000004,15.6,20.1
2017-07-10,145.059998,78.730003,46.450001,15.3,19.35
2017-07-11,145.529999,79.860001,46.650002,15.15,19.1
2017-07-12,145.740005,80.370003,46.939999,15.35,19.200001
2017-07-13,147.770004,80.269997,48.07,15.35,19.0
2017-07-14,149.03999299999998,81.550003,47.889998999999996,15.3,19.299999
2017-07-17,149.559998,81.089996,48.580002,15.2,19.15
2017-07-18,150.080002,81.139999,48.130001,15.15,18.549999
2017-07-19,151.020004,80.370003,48.279999,15.23,18.700001
2017-07-20,150.33999599999999,80.849998,48.279999,15.25,18.299999
2017-07-21,150.270004,78.959999,48.189999,15.15,17.950001
2017-07-24,152.08999599999999,78.75,47.560001,15.25,17.85
2017-07-25,152.740005,79.519997,49.549999,15.35,18.25
2017-07-26,153.46000700000002,80.720001,48.849998,15.1,17.85
2017-07-27,150.559998,79.550003,50.259997999999996,15.3,17.35
2017-07-28,149.5,79.239998,50.43,15.1,13.85
2017-07-31,148.729996,79.010002,49.669998,15.35,13.65
2017-08-01,150.050003,78.949997,50.380001,15.55,13.85
2017-08-02,157.139999,78.82,50.130001,15.3,14.2
2017-08-03,155.570007,77.940002,50.470001,15.15,14.35
2017-08-04,156.389999,77.779999,50.759997999999996,15.4,14.8
2017-08-07,158.809998,78.870003,51.299999,15.2,14.68
2017-08-08,160.080002,78.970001,50.990002000000004,15.25,14.83
2017-08-09,161.059998,77.980003,51.369999,15.05,14.05
2017-08-10,155.320007,76.83000200000001,50.0,14.7,14.05
2017-08-11,157.479996,78.040001,50.279999,14.6,13.9
2017-08-14,159.850006,79.900002,51.080002,14.95,14.15
2017-08-15,161.600006,79.959999,49.959998999999996,14.9,13.9
2017-08-16,160.949997,80.059998,50.540001000000004,14.8,13.95
2017-08-17,157.860001,77.559998,49.75,14.3,13.8
2017-08-18,157.5,77.739998,49.450001,14.4,14.0
2017-08-21,157.21000700000002,77.699997,49.09,14.35,13.9
2017-08-22,159.779999,79.16999799999999,50.630001,14.55,14.1
2017-08-23,159.979996,79.07,50.189999,14.65,13.6
2017-08-24,159.270004,79.269997,50.09,14.7,13.45
2017-08-25,159.860001,78.970001,49.610001000000004,14.9,13.8
2017-08-28,161.470001,79.440002,48.619999,14.7,13.95
2017-08-29,162.91000400000001,79.550003,48.130001,14.6,14.4
2017-08-30,163.350006,83.720001,47.57,14.7,15.15
2017-08-31,164.0,83.66999799999999,47.599998,14.7,15.2
2017-09-01,164.050003,84.379997,47.790001000000004,14.85,15.25
2017-09-05,162.080002,83.0,47.77,14.4,15.1
2017-09-06,161.91000400000001,82.510002,47.5,14.55,15.15
2017-09-07,161.259995,81.099998,47.709998999999996,14.0,15.3
2017-09-08,158.630005,80.440002,47.799999,14.25,15.5
2017-09-11,161.5,82.220001,48.07,14.6,15.9
2017-09-12,160.860001,82.150002,48.41,14.75,16.049999
2017-09-13,159.649994,82.059998,48.889998999999996,14.95,15.9
2017-09-14,158.279999,82.339996,49.360001000000004,14.85,15.85
2017-09-15,159.880005,83.839996,50.02,15.05,16.75
2017-09-18,158.669998,85.16999799999999,49.049999,15.25,17.25
2017-09-19,158.729996,85.239998,48.84,15.25,17.35
2017-09-20,156.070007,83.690002,49.02,15.5,17.950001
2017-09-21,153.389999,84.239998,49.299999,15.55,17.799999
2017-09-22,151.889999,84.91999799999999,49.509997999999996,15.6,18.1
2017-09-25,150.550003,83.879997,51.23,15.7,17.75
2017-09-26,153.139999,83.910004,51.18,16.0,18.4
2017-09-27,154.229996,84.91999799999999,53.0,16.35,18.75
2017-09-28,153.279999,85.639999,53.560001,16.5,18.549999
2017-09-29,154.119995,86.16999799999999,53.57,16.549999,18.85
2017-10-02,153.809998,85.82,51.919998,16.799999,19.35
2017-10-03,154.479996,85.900002,52.009997999999996,16.700001,19.4
2017-10-04,153.479996,87.0,52.150002,16.4,19.049999
2017-10-05,155.389999,87.889999,52.610001000000004,16.65,19.4
2017-10-06,155.300003,87.870003,53.419998,16.6,19.65
2017-10-09,155.83999599999999,87.709999,52.720001,16.799999,19.65
2017-10-10,155.899994,87.989998,52.82,16.9,19.65
2017-10-11,156.550003,88.57,52.599998,16.700001,19.299999
2017-10-12,156.0,88.83000200000001,52.099998,16.4,19.65
2017-10-13,156.990005,89.059998,51.439999,16.450001,19.950001
2017-10-16,159.880005,88.83000200000001,51.360001000000004,16.6,19.4
2017-10-17,160.470001,88.940002,51.5,16.299999,18.799999
2017-10-18,159.759995,89.0,51.59,16.5,19.1
2017-10-19,155.979996,88.800003,52.040001000000004,16.049999,19.25
2017-10-20,156.25,88.93,52.52,16.25,19.35
2017-10-23,156.169998,88.769997,52.869999,15.9,19.65
2017-10-24,157.100006,90.290001,52.200001,16.200001,19.65
2017-10-25,156.41000400000001,89.860001,51.93,16.0,19.700001
2017-10-26,157.41000400000001,90.559998,52.470001,16.200001,22.9
2017-10-27,163.050003,91.209999,51.82,16.25,23.85
2017-10-30,166.720001,91.32,51.220001,15.75,23.950001
2017-10-31,169.03999299999998,91.300003,51.310001,15.9,24.049999
2017-11-01,166.889999,90.989998,51.799999,15.65,24.1
2017-11-02,168.110001,90.790001,52.630001,15.75,23.799999
2017-11-03,172.5,91.809998,53.080002,15.7,23.200001
2017-11-06,174.25,92.279999,52.240002000000004,15.75,23.4
2017-11-07,174.809998,91.900002,51.990002000000004,15.15,23.950001
2017-11-08,176.240005,92.0,53.360001000000004,15.1,23.9
2017-11-09,175.880005,89.699997,53.299999,14.9,23.799999
2017-11-10,174.669998,89.589996,53.689999,15.05,23.85
2017-11-13,173.970001,90.029999,53.59,15.15,23.85
2017-11-14,171.33999599999999,90.440002,53.509997999999996,15.35,24.1
2017-11-15,169.080002,89.160004,52.889998999999996,15.4,23.950001
2017-11-16,171.100006,90.480003,53.880001,15.5,23.9
2017-11-17,170.149994,90.41999799999999,55.049999,15.5,24.0
2017-11-20,169.979996,93.07,55.700001,15.65,24.700001
2017-11-21,173.139999,90.190002,54.790001000000004,15.7,25.33
2017-11-22,174.96000700000002,88.650002,54.830002,15.75,25.450001
2017-11-24,174.970001,89.150002,54.299999,15.45,25.049999
2017-11-27,174.08999599999999,87.449997,54.84,15.58,24.9
2017-11-28,173.070007,87.07,56.59,16.200001,25.85
2017-11-29,169.479996,85.660004,58.630001,16.85,26.549999
2017-11-30,171.850006,86.110001,59.099998,16.35,27.0
2017-12-01,171.050003,85.400002,58.209998999999996,16.549999,26.85
2017-12-04,169.800003,84.790001,58.93,16.5,27.4
2017-12-05,169.639999,84.83000200000001,58.810001,15.85,26.450001
2017-12-06,169.009995,85.410004,57.990002000000004,15.65,26.5
2017-12-07,169.320007,86.110001,58.959998999999996,15.85,27.200001
2017-12-08,169.369995,85.519997,59.549999,15.8,27.450001
2017-12-11,172.669998,85.800003,57.98,15.6,27.85
2017-12-12,171.699997,85.480003,55.529999,15.9,27.9
2017-12-13,172.270004,85.18,55.84,15.7,28.1
2017-12-14,172.220001,85.440002,53.450001,15.4,26.5
2017-12-15,173.970001,86.690002,53.970001,15.9,26.950001
2017-12-18,176.419998,88.089996,55.509997999999996,16.1,27.799999
2017-12-19,174.53999299999998,87.949997,55.200001,16.15,27.6
2017-12-20,174.350006,88.650002,54.950001,16.0,27.549999
2017-12-21,175.009995,88.650002,55.119999,16.1,27.549999
2017-12-22,175.009995,88.849998,55.549999,15.8,28.549999
2017-12-26,170.570007,88.629997,56.400002,15.75,28.700001
2017-12-27,170.600006,89.099998,56.349998,15.45,28.700001
2017-12-28,171.080002,89.379997,55.779999,15.55,28.4
2017-12-29,169.229996,89.029999,56.150002,15.45,28.0
